,hour,longitude,latitude,value
0,0,104.0543,30.627,28.0
1,0,104.0639,30.6655,14.0
2,0,103.6342,31.0138,18.0
3,0,104.1754,30.8386,7.0
4,0,104.0716,30.5969,27.0
5,0,104.0811,30.5601,66.0
6,0,104.025,30.6769,16.0
7,0,104.0793,30.67,22.0
8,0,104.0922,30.6681,40.0
9,0,103.6212,31.0039,23.0
10,0,103.9033,30.7895,6.0
11,0,104.2661,30.5709,7.0
12,0,104.0919,30.5655,50.0
13,0,103.8812,30.8039,16.0
14,0,103.9644,30.5774,75.0
15,0,104.0783,30.5358,50.0
16,0,104.0619,30.6149,28.0
17,0,104.079,30.6324,39.0
18,0,104.1177,30.6755,19.0
19,0,103.853,30.7122,10.0
20,0,103.6373,30.9988,8.0
21,0,104.1078,30.6409,18.0
22,0,104.0429,30.7119,31.0
23,0,103.6698,30.9806,7.0
24,0,103.9257,30.5858,9.0
25,0,104.082,30.6915,11.0
26,0,104.0932,30.6408,35.0
27,0,104.0647,30.6803,13.0
28,0,104.048,30.6481,20.0
29,0,103.9856,30.7274,11.0
30,0,103.8783,30.6911,7.0
31,0,104.0621,30.592,40.0
32,1,103.9271,30.5832,10.0
33,1,104.1675,30.8332,19.0
34,1,104.0483,30.6282,21.0
35,1,104.0889,30.6203,37.0
36,1,103.8323,30.6974,6.0
37,1,103.6372,30.999,40.0
38,1,104.0675,30.5901,13.0
39,1,103.8867,30.8149,40.0
40,1,103.8411,30.713,14.0
41,1,104.1849,30.8187,20.0
42,1,104.0384,30.6438,23.0
43,1,104.0503,30.645,37.0
44,1,104.0136,30.644,23.0
45,1,104.1225,30.6155,46.0
46,1,103.6648,30.9884,11.0
47,1,104.1282,30.6571,12.0
48,1,104.0726,30.6497,52.0
49,1,104.1521,30.6017,28.0
50,1,104.2768,30.5592,30.0
51,1,104.2659,30.5554,15.0
52,1,104.0887,30.6648,29.0
53,2,103.6478,31.0029,8.0
54,2,104.0807,30.6101,44.0
55,2,103.8395,30.7066,7.0
56,2,104.1376,30.6505,40.0
57,2,103.9378,30.5845,15.0
58,2,104.1843,30.8102,19.0
59,2,103.6615,30.9876,7.0
60,2,104.0652,30.6439,33.0
61,2,104.0715,30.597,14.0
62,2,104.0958,30.6532,39.0
63,2,104.0862,30.6495,28.0
64,2,104.1221,30.6314,68.0
65,2,104.1482,30.8096,10.0
66,3,104.1475,30.6475,12.0
67,3,103.6552,30.9918,13.0
68,3,103.8859,30.816,10.0
69,3,104.2827,30.5592,14.0
70,3,104.0717,30.6766,9.0
71,3,104.2705,30.8936,50.0
72,3,104.2747,30.879,140.0
73,3,103.9583,30.9918,7.0
74,3,104.061,30.5925,33.0
75,3,103.64,30.9969,5.0
76,3,104.0508,30.6276,26.0
77,3,104.0762,30.5611,52.0
78,3,104.1334,30.6095,44.0
79,3,104.0253,30.6451,45.0
80,3,104.0315,30.6752,28.0
81,3,104.1258,30.6525,18.0
82,3,104.0895,30.6779,9.0
83,3,103.6484,31.0193,10.0
84,4,104.083,30.6617,13.0
85,4,104.2684,30.5738,7.0
86,4,104.156,30.6154,10.0
87,4,104.1176,30.6604,17.0
88,4,104.0896,30.6131,55.0
89,4,104.041,30.6458,27.0
90,4,104.0095,30.6572,20.0
91,4,103.9715,30.5823,26.0
92,4,103.6268,30.9869,6.0
93,4,103.8385,30.7065,7.0
94,4,104.0796,30.5571,55.0
95,4,104.0882,30.6934,14.0
96,4,104.2636,30.8938,13.0
97,4,104.1549,30.8116,12.0
98,4,103.6319,31.0077,22.0
99,4,104.0317,30.6719,22.0
100,4,103.9974,30.6717,34.0
101,5,104.0888,30.6624,13.0
102,5,104.2499,30.5805,25.0
103,5,103.6392,31.0131,17.0
104,5,104.1109,30.701,26.0
105,5,104.0269,30.6733,11.0
106,5,104.1955,30.8284,16.0
107,5,103.6656,30.976,16.0
108,5,104.0742,30.6154,12.0
109,5,104.1244,30.6573,41.0
110,5,104.0398,30.6577,63.0
111,5,104.0955,30.6537,151.0
112,5,104.0798,30.7027,18.0
113,5,104.2695,30.8788,14.0
114,5,104.1111,30.6269,33.0
115,5,104.0467,30.5936,50.0
116,5,104.1259,30.6698,21.0
117,5,103.6566,30.9989,7.0
118,5,104.0785,30.6322,61.0
119,5,104.0336,30.6424,16.0
120,5,104.1079,30.6416,14.0
121,5,104.1216,30.7075,16.0
122,5,103.6599,30.9897,10.0
123,5,104.0527,30.5652,39.0
124,6,103.6363,30.977,8.0
125,6,104.0736,30.6666,23.0
126,6,104.0519,30.6982,20.0
127,6,104.0961,30.6983,8.0
128,6,104.0286,30.6407,21.0
129,6,103.6497,30.9747,7.0
130,6,104.0668,30.5978,43.0
131,6,104.0459,30.6814,67.0
132,6,104.0881,30.6921,24.0
133,6,104.2883,30.5701,7.0
134,6,103.9172,30.5786,5.0
135,6,104.0883,30.6134,8.0
136,6,103.8696,30.7028,11.0
137,6,103.9991,30.6281,19.0
138,6,104.1504,30.6039,18.0
139,6,103.6561,31.0047,7.0
140,6,103.8795,30.6735,12.0
141,6,104.265,30.5827,10.0
142,6,103.8242,30.6832,12.0
143,6,103.8375,30.6915,10.0
144,6,104.1634,30.6301,11.0
145,6,104.261,30.5735,21.0
146,6,104.013,30.6285,74.0
147,6,104.0025,30.6769,63.0
148,6,104.0187,30.7152,74.0
149,6,103.8501,30.6949,8.0
150,6,104.2661,30.5487,7.0
151,6,103.9625,30.6776,66.0
152,6,104.05,30.5584,40.0
153,6,104.0969,30.6866,27.0
154,6,104.1309,30.6213,81.0
155,6,103.6543,30.987,105.0
156,6,103.9049,30.8014,36.0
157,6,104.1097,30.647,60.0
158,6,104.0415,30.6412,54.0
159,6,104.1958,30.8291,8.0
160,6,104.0894,30.6279,47.0
161,6,104.2774,30.559,9.0
162,7,104.1766,30.8127,18.0
163,7,103.8526,30.7008,6.0
164,7,104.0193,30.7035,13.0
165,7,104.0955,30.6535,134.0
166,7,103.6656,30.976,40.0
167,7,104.0315,30.6741,70.0
168,7,104.025,30.6447,73.0
169,7,103.8687,30.7024,17.0
170,7,104.2819,30.8895,40.0
171,7,103.8341,30.716,24.0
172,7,103.6254,30.9869,41.0
173,7,104.0008,30.6324,21.0
174,7,103.8762,30.8065,11.0
175,7,104.108,30.6738,32.0
176,7,104.0784,30.6548,8.0
177,7,104.1851,30.8228,30.0
178,7,103.9874,30.6513,18.0
179,7,104.2417,30.5821,40.0
180,7,103.6356,30.9817,38.0
181,7,103.9132,30.802,31.0
182,7,104.0584,30.6709,16.0
183,7,103.8415,30.6914,15.0
184,7,104.0647,30.6576,20.0
185,7,104.1288,30.6537,25.0
186,7,103.9897,30.6109,58.0
187,7,103.8993,30.8028,54.0
188,7,104.0984,30.6186,29.0
