,hour,longitude,latitude,value
0,0,104.1069,30.6456,6
1,0,104.0602,30.5589,8
2,0,130.3617,46.8099,3
3,0,104.0056,30.641,5
4,0,103.8864,30.8221,6
5,0,103.979,30.7257,7
6,0,104.4423,30.8641,3
7,0,103.6689,31.02,7
8,0,104.2551,30.9001,3
9,0,104.011,30.6673,5
10,0,104.2639,30.5818,3
11,0,104.0158,30.6539,3
12,0,103.9753,30.677,3
13,0,104.0206,30.6353,4
14,0,103.6443,31.0156,6
15,0,103.953,30.6071,6
16,0,103.6394,30.9802,3
17,0,104.0706,30.7832,4
18,0,103.6189,30.9703,10
19,0,103.6358,30.9924,14
20,0,103.9051,30.8013,3
21,0,104.0731,30.641,5
22,0,104.2755,30.5658,5
23,0,104.1523,30.6875,5
24,0,103.9626,30.575,10
25,0,104.4083,30.8693,3
26,0,103.8846,30.7932,5
27,0,104.2848,30.5812,9
28,0,104.113,30.6641,19
29,0,103.8824,30.6133,7
30,0,103.8197,30.7002,3
31,0,104.1806,30.8353,3
32,0,104.2683,30.5438,3
33,0,104.2877,30.886,5
34,0,104.0413,30.5572,9
35,0,104.2549,30.5772,4
36,0,103.8703,30.6985,7
37,0,104.0781,30.5097,4
38,0,104.2644,30.5697,4
39,0,104.072,30.5964,10
40,0,104.1165,30.6753,8
41,0,104.2862,30.8329,9
42,0,103.6498,30.9786,6
43,0,104.1988,30.8156,3
44,0,104.0019,30.6098,5
45,0,104.0894,30.6652,5
46,0,104.3006,30.8908,6
47,0,103.839,30.6777,11
48,0,103.9285,30.7609,4
49,0,104.0968,30.5551,3
50,0,104.2632,30.5521,5
51,0,104.3098,30.5921,8
52,0,104.108,30.6229,5
53,0,103.9153,30.8095,5
54,0,104.18,30.8165,6
55,0,103.8679,30.6868,3
56,0,103.8432,30.71,3
57,0,104.0333,30.7011,3
58,0,104.1687,30.8201,4
59,0,103.6231,31.0169,4
60,0,104.0385,30.6398,3
61,0,104.0208,30.7001,5
62,0,104.1325,30.6501,11
63,0,104.4652,30.8551,5
64,0,103.843,30.6959,8
65,0,103.6585,30.9911,11
66,0,103.8281,30.7096,5
67,1,104.0155,30.6299,4
68,1,103.9005,30.8057,5
69,1,104.1849,30.8088,5
70,1,104.2753,30.8759,5
71,1,103.9075,30.5641,8
72,1,103.8424,30.7078,3
73,1,104.0759,30.7532,5
74,1,103.6577,31.0029,3
75,1,104.1711,30.7078,7
76,1,104.1376,30.6506,4
77,1,104.0048,30.6888,7
78,1,103.8981,30.796,8
79,1,104.2597,30.8884,4
80,1,104.1737,30.5696,9
81,1,104.063,30.5265,3
82,1,104.0529,30.6899,3
83,1,103.9631,30.576,7
84,1,103.9835,30.6402,5
85,1,104.0183,30.7171,3
86,1,104.2679,30.5568,4
87,1,103.8216,30.6997,4
88,1,103.991,30.6774,5
89,1,104.0975,30.6271,5
90,1,104.0699,30.6268,5
91,1,103.8315,30.7105,3
92,1,103.6648,30.9884,3
93,1,103.6836,30.6364,5
94,1,103.981,30.7493,17
95,1,104.0819,30.6615,4
96,2,104.0863,30.6836,4
97,2,104.1325,30.6501,4
98,2,104.1016,30.6628,5
99,2,103.8445,30.6985,4
100,2,104.0705,30.5961,5
101,2,104.2678,30.583,5
102,2,103.9137,30.8092,9
103,2,104.2515,30.5404,8
104,2,104.0809,30.5663,3
105,2,103.6316,30.9887,4
106,2,104.2773,30.5608,7
107,2,104.2696,30.5711,4
108,2,103.877,30.8293,5
109,2,104.2587,30.5757,3
110,2,104.276,30.8916,6
111,2,103.8631,30.7002,4
112,2,103.6577,31.0029,20
113,2,104.1849,30.8264,5
114,2,103.9039,30.8001,4
115,2,103.8339,30.6911,8
116,2,103.6363,31.0119,4
117,2,103.6389,30.9641,3
118,2,103.904,30.8177,5
119,2,103.9413,30.5888,11
120,2,103.6555,30.9913,3
121,2,104.0183,30.7171,6
122,2,104.0147,30.6295,3
123,2,104.1758,30.8161,5
124,2,103.6729,31.0069,5
125,2,103.887,30.8118,9
126,2,104.1052,30.7201,6
127,2,104.2687,30.5543,4
128,2,104.1099,30.603,4
129,2,103.6353,30.9977,10
130,2,104.0705,30.7294,4
131,2,103.6478,30.9772,4
132,2,104.0589,30.6341,5
133,2,103.6667,30.6344,3
134,2,104.2662,30.9051,4
135,3,103.6674,30.9907,7
136,3,104.1859,30.8101,4
137,3,104.2782,30.5789,10
138,3,104.1181,30.7204,6
139,3,103.9729,30.6202,3
140,3,104.2524,30.8892,4
141,3,104.2628,30.8877,5
142,3,104.2245,30.5215,25
143,3,104.1093,30.6046,5
144,3,104.4668,30.8547,11
145,3,104.1396,30.8127,4
146,3,103.8357,30.6729,3
147,3,104.0827,30.5905,5
148,3,103.6551,31.0016,3
149,3,104.0231,30.6358,8
150,3,103.8551,30.6918,3
151,3,103.9865,30.7265,4
152,3,104.0218,30.6919,5
153,3,103.8183,30.6976,5
154,3,103.6226,30.9893,3
155,3,103.6554,30.9902,7
156,3,104.2645,30.5539,5
157,3,103.9736,30.7549,8
158,3,103.6364,30.9637,5
159,3,103.9275,30.7579,6
160,3,104.1255,30.6523,4
161,3,104.1491,30.8211,5
162,3,104.0623,30.7282,5
163,3,103.8414,30.6865,6
164,3,104.1968,30.816,6
165,3,103.9095,30.7992,4
166,3,104.0895,30.6779,4
167,3,103.8837,30.8142,3
168,4,103.6556,30.9921,6
169,4,104.0023,30.6467,4
