,hour,longitude,latitude,value
0,0,104.0355,30.6892,16.0
1,0,103.8281,30.7132,6.0
2,0,104.1822,30.8427,13.0
3,0,104.0281,30.6538,13.0
4,0,104.2578,30.8927,19.0
5,0,103.632,30.9891,10.0
6,0,104.0732,30.6376,87.0
7,0,104.047,30.6686,20.0
8,0,103.8396,30.7006,16.0
9,0,104.0525,30.5558,109.0
10,0,103.6581,30.9984,3.0
11,0,104.0756,30.6636,22.0
12,0,103.6486,30.9783,20.0
13,0,103.6596,30.9859,18.0
14,0,104.094,30.6443,17.0
15,0,104.2738,30.8826,42.0
16,0,104.0771,30.6793,16.0
17,0,104.1516,30.6033,31.0
18,0,103.882,30.6825,14.0
19,0,103.8302,30.695,20.0
20,0,104.2649,30.553,40.0
21,0,104.1888,30.8247,12.0
22,0,103.6265,30.9993,20.0
23,0,104.1709,30.8341,11.0
24,0,104.0706,30.6272,54.0
25,0,104.2348,30.5755,12.0
26,0,104.0953,30.6537,60.0
27,0,104.1779,30.8151,16.0
28,0,104.1136,30.6349,12.0
29,1,104.0774,30.6581,33.0
30,1,104.0681,30.5918,27.0
31,1,103.8368,30.6964,10.0
32,1,103.9651,30.5852,35.0
33,1,103.6229,31.0035,6.0
34,1,104.2661,30.5712,7.0
35,1,103.648,30.9967,37.0
36,1,104.0588,30.6722,21.0
37,1,104.2012,30.7217,20.0
38,1,104.2617,30.8861,16.0
39,1,103.646,30.9877,13.0
40,1,104.0787,30.5465,10.0
41,1,103.951,30.6098,80.0
42,1,104.0061,30.6717,16.0
43,1,104.1434,30.6731,26.0
44,1,104.0485,30.5062,15.0
45,1,104.1223,30.6595,38.0
46,1,103.9313,30.5799,5.0
47,1,104.1754,30.8385,11.0
48,1,103.6261,30.9851,8.0
49,1,104.1609,30.8312,11.0
50,1,104.0772,30.674,73.0
51,1,104.0908,30.6489,30.0
52,1,104.0963,30.6614,52.0
53,1,104.2833,30.879,405.0
54,1,104.0299,30.6975,29.0
55,1,104.1996,30.8158,18.0
56,1,104.0629,30.6302,38.0
57,2,104.0422,30.6405,58.0
58,2,103.6518,30.9949,21.0
59,2,103.6271,30.9996,70.0
60,2,103.6386,30.9985,4.0
61,2,104.1677,30.8311,9.0
62,2,104.0676,30.5901,13.0
63,2,104.0596,30.6862,9.0
64,2,104.045,30.6151,21.0
65,2,103.6438,30.9876,8.0
66,2,103.6675,30.9905,13.0
67,2,104.2423,30.5832,14.0
68,2,104.1113,30.7222,11.0
69,2,103.9258,30.81,10.0
70,2,104.2678,30.8841,7.0
71,2,104.0757,30.5965,20.0
72,2,103.6597,31.0265,11.0
73,2,104.061,30.6561,12.0
74,2,104.1761,30.8182,9.0
75,2,104.0934,30.6444,31.0
76,2,104.066,30.6422,10.0
77,3,104.1381,30.6244,35.0
