,hour,longitude,latitude,value
0,0,104.1223,30.7502,55.0
1,0,104.0873,30.6755,38.0
2,0,104.2913,30.8911,14.0
3,0,104.0623,30.6744,9.0
4,0,104.0804,30.7041,18.0
5,0,104.074,30.6549,37.0
6,0,104.1667,30.8263,12.0
7,0,103.6512,30.9595,15.0
8,0,104.0617,30.657,38.0
9,0,104.0148,30.6296,23.0
10,0,104.2448,30.8933,11.0
11,0,103.634,31.0137,19.0
12,0,103.8264,30.6992,12.0
13,0,104.0911,30.6595,51.0
14,0,104.0746,30.6787,91.0
15,0,103.9299,30.803,11.0
16,0,104.1738,30.8339,13.0
17,0,103.9747,30.6814,16.0
18,0,103.6398,30.9909,13.0
19,0,104.028,30.6685,17.0
20,0,104.2865,30.5612,10.0
21,0,104.073,30.5583,24.0
22,0,103.987,30.6743,10.0
23,0,104.0784,30.6311,12.0
24,0,103.6483,30.9995,10.0
25,0,104.0571,30.6333,103.0
26,0,103.8709,30.6919,48.0
27,0,104.0372,30.6895,12.0
28,0,104.0905,30.6174,33.0
29,0,104.0676,30.6463,23.0
30,0,104.2414,30.5791,11.0
31,0,103.8959,30.7947,6.0
32,0,104.1078,30.642,46.0
33,0,104.1175,30.6764,18.0
34,0,103.6594,31.0267,13.0
35,0,104.0952,30.6471,24.0
36,0,104.1462,30.6428,10.0
37,0,104.067,30.6262,22.0
38,0,104.08,30.6078,63.0
39,1,103.6585,30.9907,6.0
40,1,103.8712,30.6984,100.0
41,1,103.8852,30.7939,8.0
42,1,104.0814,30.5472,52.0
43,1,104.0348,30.6513,9.0
44,1,104.0494,30.6344,34.0
45,1,103.902,30.8218,11.0
46,1,103.9653,30.585,73.0
47,1,103.8975,30.7975,5.0
48,1,103.9174,30.7767,10.0
49,1,104.0255,30.6954,25.0
50,1,104.0677,30.5901,13.0
51,1,103.6683,31.0088,5.0
52,1,104.0544,30.5585,37.0
53,1,104.0994,30.6877,26.0
54,1,103.8378,30.6926,8.0
55,1,103.6315,31.0059,26.0
56,1,104.0354,30.6893,16.0
57,1,104.0305,30.6686,21.0
58,1,104.266,30.5551,15.0
59,1,104.0404,30.6409,18.0
60,1,104.2047,30.8289,7.0
61,1,103.9136,30.8065,10.0
62,1,104.0427,30.5646,36.0
63,1,104.1261,30.6748,12.0
64,1,104.2717,30.8924,10.0
65,1,104.0743,30.6389,17.0
66,1,104.1507,30.6053,20.0
67,1,104.2749,30.5616,8.0
68,2,104.0837,30.6212,22.0
69,2,103.6344,30.9983,12.0
70,2,104.1726,30.8034,15.0
