,hour,longitude,latitude,value
0,0,103.6473,30.9873,7.0
1,0,103.9257,30.5858,14.5
2,0,103.9032,30.8116,6.0
3,0,103.6373,30.9988,7.0
4,0,103.9496,31.0003,15.0
5,0,103.6454,31.0128,7.0
6,0,103.6342,31.0138,11.0
7,0,104.1031,30.6853,30.0
8,0,103.948,30.7852,22.0
9,0,104.0547,30.6891,19.0
10,0,103.6749,31.008,8.0
11,0,103.8425,30.7128,10.0
12,0,104.079,30.6324,19.0
13,0,103.9799,30.7579,13.0
14,0,103.8812,30.8039,27.33
15,0,104.0337,30.6543,14.5
16,0,104.0927,30.5982,10.0
17,0,104.2579,30.8843,11.4
18,0,104.0059,30.7201,27.0
19,0,104.2661,30.5709,7.0
20,0,104.282,30.5766,16.0
21,0,104.2714,30.8935,8.0
22,0,103.8225,30.6845,17.0
23,0,103.8295,30.6745,63.5
24,0,103.9033,30.7895,18.0
25,0,104.082,30.6915,22.0
26,0,104.2061,30.58,17.0
27,0,103.9964,30.5848,14.5
28,0,104.0716,30.5969,20.5
29,0,104.0043,30.5764,7.0
30,0,104.0428,30.6765,10.0
31,0,104.0647,30.6803,23.0
32,0,104.048,30.6481,17.0
33,0,104.069,30.7199,9.0
34,0,104.4159,30.8609,61.0
35,0,104.1752,30.8079,8.0
36,0,103.9863,30.6401,10.0
37,0,104.0793,30.67,12.2
38,0,104.1485,30.6717,22.0
39,0,104.0193,30.6512,13.0
40,0,104.1754,30.8386,15.5
41,0,103.8278,30.6934,26.0
42,0,103.8949,30.8029,8.0
43,0,104.025,30.6769,9.0
44,0,103.9977,30.6499,5.0
45,0,104.422,30.8512,22.0
46,0,103.6625,31.0231,19.0
47,0,104.137,30.7195,15.0
48,0,104.0543,30.627,18.5
49,0,103.8604,30.6914,9.0
50,0,104.264,30.5474,10.0
51,0,103.9856,30.7274,12.0
52,0,103.9397,30.5855,18.0
53,0,104.2768,30.5849,12.0
54,0,103.8783,30.6911,15.0
55,0,104.1078,30.6409,13.5
56,0,103.9659,30.7032,29.0
57,0,103.853,30.7122,14.67
58,0,104.1177,30.6755,22.0
59,0,104.0811,30.5601,13.5
60,0,103.6737,30.9902,16.5
61,0,103.9085,30.7979,8.0
62,0,104.0919,30.5655,21.0
63,0,104.2588,30.9033,20.0
64,0,104.0206,30.7112,25.0
65,0,104.2832,30.5603,10.0
66,0,104.0429,30.7119,21.0
67,0,104.1995,30.8169,16.5
68,0,104.0518,30.7174,22.0
69,0,104.0384,30.6369,13.0
70,0,103.9691,30.6748,9.0
71,0,104.0639,30.6655,11.0
72,0,103.9778,30.5629,11.0
73,0,104.1937,30.5525,18.0
74,0,104.1118,30.6936,5.0
75,0,104.4423,30.8641,12.0
76,0,104.0619,30.6149,16.0
77,0,104.0621,30.592,59.0
78,0,104.0922,30.6681,13.33
79,0,103.6662,31.0147,10.0
80,0,104.1542,30.8183,9.0
81,0,103.6212,31.0039,9.8
82,0,103.8326,30.7049,7.0
83,0,103.6698,30.9806,13.25
84,0,104.1413,30.6819,8.0
85,0,103.6609,30.6393,15.0
86,0,103.8709,30.7096,18.0
87,0,104.0878,30.6548,30.33
88,0,104.0783,30.5358,16.75
89,0,104.1385,30.666,13.0
90,0,103.6558,30.999,13.0
91,0,103.9148,30.8091,12.0
92,0,104.0932,30.6408,15.0
93,0,103.9644,30.5774,14.62
94,0,103.6665,30.6847,47.0
95,0,103.6185,30.9747,14.0
96,0,104.1161,30.6148,12.0
97,1,104.1849,30.8187,10.67
98,1,104.0675,30.5901,41.0
99,1,103.9811,30.7574,10.0
100,1,103.6231,31.017,11.0
101,1,104.2838,30.8764,11.0
102,1,104.1745,30.8226,7.0
103,1,103.8174,30.6887,14.5
104,1,104.0872,30.681,8.0
105,1,104.1521,30.6017,16.0
106,1,103.8781,30.8275,9.0
107,1,104.0807,30.6334,19.0
108,1,104.2768,30.5592,11.33
109,1,104.2688,30.5452,20.5
110,1,104.2852,30.5725,7.0
111,1,103.6581,31.026,8.0
112,1,103.6712,30.9787,20.0
113,1,103.862,30.694,14.0
114,1,103.9629,30.575,9.0
115,1,104.057,30.6074,9.5
116,1,103.9783,30.7301,21.0
117,1,104.2431,30.8938,12.0
118,1,104.1522,30.6693,20.0
119,1,103.6703,30.6433,21.0
120,1,103.9206,30.6092,16.0
121,1,104.0483,30.6282,15.0
122,1,103.919,30.5715,16.0
123,1,104.0887,30.6648,11.0
124,1,103.8323,30.6974,9.0
125,1,103.6218,30.987,17.5
126,1,104.015,30.6552,16.0
127,1,104.1072,30.5146,16.5
128,1,103.9271,30.5832,9.0
129,1,103.8411,30.713,13.0
130,1,103.9912,30.7241,19.0
131,1,104.0889,30.6203,15.0
132,1,103.6372,30.999,12.0
133,1,104.0789,30.5998,8.0
134,1,104.2659,30.5554,8.0
135,1,103.9643,30.7657,8.0
136,1,104.428,30.8634,6.0
137,1,103.6648,30.9884,19.0
138,1,103.8914,30.8046,11.0
139,1,104.1675,30.8332,8.0
140,1,104.1556,30.8263,8.0
141,1,103.6701,31.0063,19.0
142,1,103.9905,30.5836,13.0
143,1,104.2747,30.8989,16.0
144,1,104.1495,30.6793,22.0
145,1,103.8867,30.8149,12.33
146,1,104.2545,30.5727,10.0
147,1,104.3012,30.8885,19.0
148,1,104.0241,30.6895,9.0
149,1,103.8582,30.683,23.0
150,1,103.6462,31.0138,20.0
151,1,104.1404,30.6153,20.0
152,1,103.6833,30.6333,57.0
153,1,104.0751,30.6118,8.0
154,1,103.8449,30.7022,19.0
155,1,104.0384,30.6438,8.0
156,1,103.644,30.9918,8.0
157,1,104.1202,30.6798,12.5
158,1,104.0503,30.645,8.33
159,1,104.1225,30.6155,10.0
160,1,103.9079,30.8155,13.0
