,hour,longitude,latitude,value
0,0,104.0435,30.5587,46.0
1,0,103.6356,31.002,14.0
2,0,104.0632,30.5666,45.0
3,0,104.0479,30.7285,36.0
4,0,103.984,30.6398,21.0
5,0,104.0968,30.6594,13.0
6,0,103.8591,30.6896,7.0
7,0,104.182,30.8348,12.0
8,0,104.1732,30.8135,8.0
9,0,103.94,30.7806,21.0
10,0,103.8713,30.6907,12.0
11,0,104.0571,30.697,23.0
12,0,104.2751,30.5614,8.0
13,0,104.0661,30.6762,11.0
14,0,104.1122,30.6957,12.0
15,0,103.632,30.9891,7.0
16,0,104.0807,30.544,133.0
17,0,104.1507,30.6053,20.0
18,0,104.0189,30.7169,76.0
19,0,104.0704,30.5968,58.0
20,0,104.1122,30.686,19.0
21,0,103.6453,30.987,12.0
22,0,104.038,30.5877,43.0
23,0,103.6686,31.0074,14.0
24,0,104.117,30.6765,19.0
25,0,104.1864,30.8102,10.0
26,0,104.0672,30.6376,19.0
27,0,103.9096,30.8013,8.0
28,0,103.6547,30.9764,36.0
29,0,103.8734,30.6768,20.0
30,0,104.2646,30.5532,33.0
31,0,104.1274,30.6231,9.0
32,0,104.0345,30.6835,14.0
33,0,104.0881,30.5547,80.0
34,0,104.2732,30.8909,26.0
35,1,103.9617,30.5737,50.0
36,1,104.0901,30.6472,30.0
37,1,104.1015,30.6424,36.0
38,1,103.8319,30.7002,7.0
39,1,104.0785,30.6592,17.0
40,1,104.1122,30.7072,105.0
41,1,104.0964,30.6864,9.0
42,1,104.4114,30.8722,10.0
43,1,104.0676,30.5901,13.0
44,1,103.6218,30.9943,20.0
45,1,104.0887,30.6648,13.0
46,1,104.0471,30.6727,12.0
47,1,104.0558,30.6208,12.0
48,1,104.2524,30.5787,12.0
49,1,103.8488,30.7094,26.0
50,1,104.1725,30.8131,107.0
51,2,103.6379,30.9897,8.0
52,2,103.9754,30.7472,130.0
53,2,103.83,30.7033,50.0
54,2,103.9182,30.7621,36.0
55,2,104.2579,30.8885,10.0
56,2,103.9836,30.6401,12.0
57,2,104.0142,30.6684,65.0
58,2,104.1691,30.8168,26.0
59,2,104.0599,30.6845,20.0
60,2,104.0714,30.6764,24.0
61,2,103.6302,30.9993,57.0
62,2,103.641,31.013,10.0
63,2,104.1717,30.6993,11.0
64,2,104.1127,30.6652,30.0
65,2,104.0728,30.6537,10.0
66,2,104.1684,30.8316,13.0
67,2,104.2654,30.5505,10.0
68,2,104.0998,30.6642,22.0
69,2,103.6671,30.9912,7.0
70,2,103.6663,31.0178,12.0
71,2,104.0551,30.6241,18.0
72,3,103.641,31.0032,15.0
73,3,103.8963,30.8147,22.0
74,3,103.6484,31.0193,10.0
75,3,104.1255,30.6521,18.0
76,3,104.1164,30.7201,22.0
77,3,104.0687,30.6494,53.0
78,3,104.0619,30.6292,9.0
79,3,103.8345,30.6913,6.0
80,3,104.0881,30.6935,16.0
81,3,103.8386,30.7052,6.0
82,3,104.0223,30.636,27.0
83,3,104.0676,30.7027,11.0
