,hour,longitude,latitude,value
0,0,103.974,30.6771,3
1,0,104.1507,30.6263,3
2,0,104.2618,30.5504,7
3,0,103.9002,30.8235,6
4,0,104.0437,30.6835,4
5,0,104.1041,30.6579,4
6,0,104.1644,30.6319,4
7,0,103.8733,30.6968,4
8,0,104.2546,30.5794,5
9,0,104.0923,30.6662,5
10,0,104.1011,30.7158,5
11,0,103.8352,30.6914,11
12,0,104.1037,30.6291,5
13,0,104.2728,30.8907,14
14,0,103.6354,31.0106,7
15,0,104.1423,30.6361,5
16,0,104.2668,30.8759,4
17,0,103.8429,30.7022,5
18,0,104.1974,30.8163,5
19,0,104.2505,30.8883,8
20,0,104.0705,30.6531,3
21,0,104.0543,30.6269,4
22,0,104.0295,30.6711,7
23,0,103.9399,30.5761,5
24,0,103.9904,30.8252,4
25,0,104.1496,30.6432,3
26,0,104.1732,30.8137,11
27,0,103.6523,31.006,8
28,0,104.4423,30.8644,8
29,0,104.2532,30.5407,4
30,0,104.268,30.5831,5
31,0,104.0723,30.5334,5
32,0,103.9095,30.8124,8
33,0,103.6691,30.9881,4
34,0,103.9972,30.6264,4
35,0,104.1173,30.6758,10
36,0,103.9049,30.8015,7
37,0,103.6542,30.9863,5
38,0,104.1024,30.7293,5
39,0,103.9917,30.6915,4
40,0,103.9363,30.7823,3
41,0,103.9789,30.6149,4
42,0,103.9829,30.7602,3
43,0,104.0839,30.6901,3
44,0,103.9628,30.5823,7
45,0,104.0723,30.6713,4
46,0,104.0716,30.597,6
47,0,104.0482,30.6482,3
48,0,104.2656,30.5709,6
49,0,104.0487,30.7129,3
50,0,103.8308,30.7071,3
51,0,103.6668,30.9983,3
52,0,104.1174,30.6964,3
53,0,103.6328,30.9734,3
54,0,104.0564,30.5184,5
55,0,104.0825,30.6353,5
56,0,104.2401,30.5803,3
57,0,104.1684,30.6216,4
58,0,103.9994,30.6076,3
59,0,103.642,30.9942,8
60,0,104.0964,30.6864,5
61,0,104.0529,30.7525,4
62,0,103.6626,31.01,4
63,0,104.1165,30.7194,5
64,1,104.0195,30.7134,3
65,1,103.9961,30.6611,3
66,1,104.0834,30.6689,4
67,1,103.9251,30.7588,8
68,1,103.8485,30.3807,8
69,1,103.8925,30.8162,5
70,1,103.8426,30.6802,12
71,1,103.63,30.9944,11
72,1,104.4159,30.8569,4
73,1,103.6605,31.0075,6
74,1,104.112,30.607,3
75,1,103.9096,30.7992,6
76,1,104.282,30.883,6
77,1,104.1261,30.6508,4
78,1,103.9679,30.5846,7
79,1,104.0734,30.5927,5
80,1,103.8051,30.6959,5
81,1,103.8295,30.6743,3
82,1,103.6543,30.9971,5
83,1,104.1507,30.6053,3
84,1,103.8197,30.7042,6
85,1,104.0615,30.655,4
86,1,103.9682,30.6884,3
87,1,104.4239,30.7519,5
88,1,103.8771,30.6761,6
89,1,104.1974,30.8163,8
90,1,104.0916,30.6542,4
91,1,103.8357,30.7038,10
92,1,104.1846,30.8099,3
93,1,103.9614,30.5763,7
94,1,103.9045,30.77,14
95,1,103.8704,30.6911,3
96,1,104.0604,30.7095,5
97,1,103.8275,30.9213,5
98,1,104.2354,30.5762,4
99,1,104.0763,30.6446,5
100,1,104.0604,30.7382,4
101,1,104.2854,30.5664,4
102,1,104.2034,30.5834,4
103,2,103.8769,30.8328,4
104,2,103.6466,31.0104,8
105,2,103.86,30.7044,4
106,2,103.6269,31.0021,4
107,2,104.0388,30.6468,3
108,2,103.6325,30.9806,3
109,2,103.8938,30.8101,8
110,2,103.9194,30.5724,3
111,2,103.8389,30.7074,4
112,2,104.1173,30.659,4
113,2,103.6601,31.0085,4
114,2,104.1721,30.6988,3
115,2,103.6437,30.9963,5
116,2,103.8423,30.6882,19
117,2,104.2463,30.58,4
118,2,104.2725,30.8898,4
119,2,104.1434,30.5964,5
120,2,104.1539,30.8163,5
121,2,103.939,30.7797,11
122,2,104.2722,30.5676,5
123,2,104.3136,30.6096,4
124,2,104.029,30.6561,3
125,2,103.6673,30.9757,4
126,2,104.0725,30.5948,3
127,2,103.9901,30.6704,5
128,2,104.1853,30.7993,5
129,2,104.285,30.5643,5
130,2,104.1398,30.6115,3
131,3,103.8429,30.6976,7
132,3,104.1609,30.817,7
133,3,103.6626,31.0099,3
134,3,103.874,30.8067,3
135,3,103.6384,30.9792,9
136,3,104.1862,30.6586,3
137,3,104.2666,30.5515,5
138,3,103.8055,30.693,7
139,3,103.8917,30.8136,17
140,3,104.0827,30.5905,3
141,3,104.1148,30.6675,5
